,Andrej Babiš,Andrej Babiš*,Danuše Nerudová,Danuše Nerudová*,Marek Hilšer,Marek Hilšer*,Pavel Fischer,Pavel Fischer*,Petr Pavel,Petr Pavel*,Jaroslav Bašta,Jaroslav Bašta*,Josef Středula,Josef Středula*,Karel Diviš,Karel Diviš*,Tomáš Zima,Tomáš Zima*
1. Prezident/ka by měl/a mít pravomoc navrhovat zákony.,-1,,-1,,-1,,-1,,-1,,-1,,1,,-1,"Prezident není a nemá být nástrojem zákonodárné moci. Pokud už chce něco podobného iniciovat, může inspirovat poslance či senátory. ",1,
"2. Souhlasím s tím, aby byla na Hradě vyvěšená vlajka Evropské unie.",1,,1,,1,,1,,1,,-1,,1,,-1,"Jde o symbol české státnosti, výhradně. Další vlajky tu mohou zavlát ad hoc např. při významné státní návštěvě, jinak ne. ",1,
3. Lánská obora má být veřejně přístupná.,1,,1,,1,,1,,1,,-1,"jde o oboru, to některé aktivity vylučuje",-1,,1,,1,
"4. Souhlasím s tím, aby prezident/ka podporoval/a Ukrajinu vyvěšením vlajky na Hradě.",-1,,1,,1,,-1,"Po ruské invazi v únoru 2022 to mělo svůj význam, ale nepovažuji to za nezbytné. Naopak za nezbytné považuji, abychom Ukrajině v jejím zápase účinně pomáhali.",1,,-1,,-1,,-1,"Jde o symbol české státnosti, výhradně. Další vlajky tu mohou zavlát ad hoc např. při významné státní návštěvě, jinak ne. ",-1,
5. Měla by být možnost trestně stíhat prezidenta/ku i v době výkonu mandátu.,-1,,1,,-1,Trestní stíhání by mohlo být politicky zneužíváno.,-1,,-1,"Kdyby byl trestně stíhán v průběhu mandátu, nemohl by plnohodnotně vykonávat funkci hlavy státu.",-1,,-1,,-1,Současná úprava je v pořádku - prezidenta lze stíhat po vypršení mandátu. ,-1,
"6. Hranice 50 tisíc podpisů, jež musí kandidáti na prezidenta získat od občanů, by se měla snížit. ",-1,,-1,,1,,-1,Volební zákon bude třeba celý upřesnit. Současná podoba vytváří příliš mnoho nejistoty. ,-1,"Měla by se ale zavést možnost odeslat ověřený podpis pod petici kandidáta i elektronickou cestou, tak aby sběr podpisů neprobíhal pouze fyzicky.",1,,1,Umožnit i elektronicky,1,"Celý systém by se měl změnit. Jednou z možných cest je sběr menšího množství podpisů, ale rovnou ověřených (CzechPoint, Datové schránky). ",1,
7. Zákonodárci by měli podpořit vždy pouze jednoho kandidáta na prezidenta.,1,,1,,1,,1,,-1,,-1,,-1,,1,,-1,
"8. Prezident/ka má mít možnost udělovat milosti i nadále bez omezení, podle své úvahy. ",1,,-1,,1,,1,,1,"Ale měl by k nim přistupovat pouze ve výjimečných případech, zejména z humanitárních důvodů.",1,,1,,1,"Je to do jisté míry pozůstatek z feudálních dob, ale když tam je, pak ji takto nechme. Je to individuální akt. Že by si jej měl ale prezident veřejně obhájit považuji za zásadní. ",1,
9. Prezident/ka má podepsat dojednané mezinárodní smlouvy bez ohledu na svůj osobní postoj.,1,,1,,1,,1,,-1,"Prezident je součástí vyjednávacího procesu, takže jeho postoj by měl být zohledněn už před samotným podpisem. Pokud zohledněn není a prezident má závažné důvody s ratifikací nesouhlasit, měl by mít v krajní situaci možnost smlouvu nepodepsat v zájmu ochrany strategických zájmů ČR.",-1,viz komentář k předchozí otázce,1,,1,,1,Proces ratifikace mezinárodních smluv je dán zákonem.  Jde o spolupráci parlamentu a prezidenta. 
10. Prezident/ka má mít povinnost jmenovat navržené soudce/soudkyně.,1,,1,,1,,1,,-1,"Měl by postupovat podle znění Ústavy a zákonů - odpovědnost navrhovat soudce má ministerstvo spravedlnosti a prezident je následně jmenuje. Pouze v krajním případě, kdy kandidát nesplňuje elementární předpoklady pro výkon funkce, by měl mít prezident možnost vyjádřit pochybnosti.",-1,,-1,,-1,Je to obdobná situace jako u jmenování ministrů. Prezident disponuje informacemi např. od tajných služeb. ,-1,Prezident může odmítnou návrh výhradně na základě rozporu kandidáta se zákonem.
11. O výběru členů Bankovní rady České národní banky má i nadále rozhodovat pouze prezident/ka.,1,,-1,,1,,1,,-1,"Určitá forma spolurozhodování například se Senátem by byla na místě, protože jde o důležité funkce, na kterých by měla existovat širší shoda.",1,,1,,1,,1,
12. Prezident/ka by se měl/a zodpovídat za všechna svá rozhodnutí.,1,,1,,-1,,1,,-1,Podle Ústavy čl. 54 je ze své funkce neodpovědný.,1,To je snad logické,-1,,0,"Tato otázka je pro mne obtížně srozumitelná. Z výkonu své funkce prezident odpovědný (v trestně-právním smyslu) není, a to je v pořádku. Pokud máte na mysli zodpovídat se veřejnosti, svá rozhodnutí vysvětlit a obhájit, pak by byla odpověď ano. ",-1,
"13. Prezident/ka má po volbách pověřit jednáním o sestavení vlády vždy předsedu strany, která volby vyhrála.",1,,-1,"Toho, kdo má největší šanci sestavit stabilní vládu.",1,,-1,"Prezident může usilovat o to nalézt alternativní variantu, například pověřit šéfa seskupení politických stran koalice, z nichž žádná sice nebude vítězem, ale dohromady dají v parlamentu většinu. ",-1,"Důležitá je schopnost designovaného premiéra sestavit stabilní vládu s důvěrou poslanecké sněmovny, tedy opřenou o alespoň 101 hlasů poslanců.",1,,1,,1,,1,
"14. ČR by měla usilovat o udržování obchodních vztahů i se zeměmi, které porušují lidská práva.",1,,-1,,-1,,1,"Neměli bychom ale rezignovat na to, že i při obchodních vztazích je potřeba důležitost dodržování lidských práv připomínat",1,"Na prosazování lidských práv nesmíme rezignovat a jejich dodržování je potřeba prosazovat. Pokud je ale obchodování nutné s ohledem na závislost na nějaké surovině či technologii, musíme takové vztahy udržovat.",1,,1,Ale musí být podmíněno mezinárodními sankcemi.,1,Většina zemí světa má nižší standardy lidských práv než západní svět. Spíš se snažme ve vzájemném kontaktu tamní poměry zlepšovat. ,1,"Většina zemí na světě nejsou demokracie. Pokud konkrétní obchodní vztahy slouží k udržení otevřeného světa, pak není důvod jim bránit. Je třeba využít všechny možnosti k udržení propojeného světa. Současně si samozřejmě musíme dávat pozor, abychom se nestali ve strategických surovinách či zboží závislí na zemích, které toho mohou zneužít."
15. Prezident/ka má prosazovat politické názory převažující u většinové části společnosti.,1,,-1,,-1,,-1,,1,"Ve smyslu toho, že demokracie je vládou většiny.",1,ale musí vést společnost k dialogu s menšinami,-1,,-1,"Prezident se má chovat v souladu s programem, s nímž kandidoval. Ve funkci se pak má zastávat lidí obecně, být protivahou vládě (ať pravicové, nebo levicové). ",1,Prezident je volen většinou společnosti a reprezentuje tedy její názory. Jeho povinností je ale dle Ústavy bránit práva všech občanů.
16. Stát by měl mít povinnost vytvořit systém bezplatné právní pomoci pro všechny.,1,,1,,-1,,1,,-1,,1,,1,,0,,-1,
"17. Souhlasím s tvrzením, že v Česku neplatí spravedlnost pro všechny stejně.",1,,1,,-1,,1,,-1,,1,,-1,,-1,,-1,
18. Má se prezident/ka oficiálně setkávat s duchovním vůdcem Tibetu (dalajlámou)?,1,,1,,1,,1,Tibetský dalajláma je duchovní autorita a jako prezident bych se s ním chtěl setkat.,1,"Prezident se může setkávat s kýmkoli, kdo hodnotově odpovídá našemu vidění světa.",-1,Proč pouze s ním? jsme snad většinově budhisté?,1,,0,Zahraniční politiku určuje primárně vláda a prezident má danou linii dodržovat. ,1,
19. Podpořil/a byste zrušení Senátu?,1,,-1,,-1,,-1,,-1,Senát mnohokrát prokázal svoji funkci jako pojistka demokratického systému.,1,,-1,,-1,,-1,
"20. Prezident/ka má prezentovat postoje vlády, i kdyby se neshodovaly s jeho/jejími osobními postoji.",-1,,1,"ANO, pokud tyto postoje vlády neohrožují demokracii, bezpečnost státu a lidská práva",1,"Prezident má respektovat postoje vlády. Mohou ale nastat extrémní situace, kdy prezident musí odmítnout postoje vlády. Například pokud by bylo ohroženo demokratické zřízení státu nebo porušována Ústava. ",-1,"Prezident má za úkol reprezentovat stát navenek. Takže by měl umět prezentovat nejen postoje vlády, ale v případě, že je to vhodné, v duchu loajality a spolupráce s vládou připojit i své osobní hledisko.  ",-1,"Ve vnitřní politice není nutné, aby měl prezident shodný názor s vládou, pokud jde o zahraniční politiku, měla by být koordinovaná se všemi ústavními činiteli.",-1,,-1,"Shodný názor by neměl být automatický, ale měly by k tomu obě strany směřovat.",-1,Shoda má být zejména u zahraniční politiky. V domácí má naopak přímo volený prezident být protivahou vlády. ,-1,"Ve výjimečných a zásadních případech, není-li možná dohoda, musí prezident jednat podle svého svědomí a prezidentského slibu."
21. Měly by spolu členské státy EU více spolupracovat a pokračovat v prohlubování integrace?,-1,,1,,1,,1,"Prohlubovat spolupráci v oblastech, kde je to třeba, je zcela na místě. ",1,Tempem přijatelným pro všechny členské země,-1,Více Evropy znamená méně demokracie,1,,-1,"Otázku vnímám jako směr federalizace, zrušení veta apod. - a s tím nesouhlasím. ",1,
"22. Prezident/ka by se měl/a snažit, aby bylo Česko ve vztahu ke světu co nejvíc neutrální.",1,Členství v NATO a EU je nezpochybnitelné.,-1,,-1,,-1,"Nejsme neutrální země. Naše ústava má v sobě silný hodnotový náboj. Dělali bychom chybu, pokud bychom na to nebrali ohled i v zahraniční politice. Přišli bychom o spojence. ",-1,"Protože nejsme neutrální zemí, jsme zemí demokratickou, tak je v pořádku, abychom se otevřeně hlásili ke straně demokracie, svobody a lidských práv.",1,S ohledem na náš export,-1,,-1,Ve střední Evropě nelze být neutrální a naše historie to mnohokrát ukázala. ,-1,"Jsme součástí EU a NATO, nejsme neutrální země"
23. Na výběr členů Bankovní rady České národní banky mají být vypisována veřejná výběrová řízení.,-1,,1,,-1,,-1,,-1,"Ale celý proces by měl být maximálně transparentní, aby veřejnost znala kdo a podle jakých kritérií je jmenován.",-1,,-1,,-1,,-1,
"24. Je přijatelné, aby se hlavou státu stala osoba trestně stíhaná?",1,Nemělo by to ale být trestní stíhání spojené s politickou činností.,-1,,-1,,-1,,-1,"Zákon vychází z presumpce neviny, takže tato možnost existuje, ale prezident by měl být nezpochybnitelnou morální autoritou.",-1,,-1,,-1,"Já osobně to za přijatelné nepovažuji, ale zákonem bych to neomezoval. Současnou úpravu Ústavy považuji za dostatečnou. ",1,O vině/nevině rozhodují soudy nikoliv státní zastupitelství.
25. Prezident/ka má mít právo odmítnout jmenovat ministra/yni podle svého uvážení.,-1,,-1,,1,"Pouze v závažných případech, např. při střetu zájmů nebo trestním stíhání.",-1,,-1,"Mělo by zůstat zachováno, co je dnes psáno v Ústavě. Za složení a výkon vlády odpovídá premiér. Pouze v případě, kdy má prezident velmi závažné důvody, proč se domnívá, že je daná osoba nezpůsobilá k výkonu funkce, a na tomto názoru panuje i široká společenská shoda, může ministra odmítnout jmenovat.",1,,-1,,1,"Současná úprava Ústavy by měla být zachována. K odmítnutí by ale měly vést závažné důvody, nikoli svévole. ",-1,Prezident může odmítnou návrh výhradně na základě rozporu kandidáta se zákonem
26. Hlava státu ČR by měla mít oproti současnému stavu širší pravomoci.,-1,,-1,,-1,,-1,,-1,,1,,-1,,-1,Současné pravomoci jsou odpovídající. ,1,Například právo navrhovat zákony.
27. Prezident/ka má mít právo odmítnout kandidáty/ky na titul profesora navržené vysokými školami.,-1,,-1,,-1,,-1,"Svoboda akademického bádání umožňuje, aby to  byly vysoké školy, které vybírají a navrhují kandidáty na profesory. Návrhy podává ministr školství, který za ně také odpovídá. Pokud by prezident odmítal někoho jmenovat, mohlo by se jednat o porušení principu nezávislosti akademické svobody. ",-1,"Měl by postupovat podle znění Ústavy a zákonů - odpovědnost navrhovat profesory mají vysoké školy a prezident je následně jmenuje. Pouze v krajním případě, kdy kandidát nesplňuje elementární předpoklady, měl by mít prezident možnost vyjádřit pochybnosti.",1,Ale musí k tomu mít závažné důvody,-1,,1,Ve výjimečných a zdůvodněných případech (např. na základě informací od tajných služeb). Nesmí jít o svévoli. ,-1,
28. Prezident/ka by měl/a chodit pravidelně na jednání vlády.,-1,Prezident by měl úzce komunikovat s premiérem a členy vlády.,-1,Pravidelně ne,1,,1,,-1,Závisí to na důležitosti a urgenci projednávaných zákonů či opatření,1,Ovšem harmonogram pravidelnosti si stanovuje sám,1,,1,,1,
29. Má prezident/ka nahrazovat předsedu Ústavního soudu před vypršením mandátu stávajícího předsedy?,-1,,-1,,-1,,-1,Bylo by to v hrubém rozporu s ústavou ČR. ,-1,,-1,přesáhl by tím svůj časový mandát,-1,,-1,,0,Je to otázka pro ústavní právo - ústavní soud
30. Měl by stát občanům v zahraničí umožnit účast ve volbách formou korespondenčního hlasování?,-1,,1,,1,,1,,1,,-1,,1,,0,"Mám obecně výhrady k hlasování na dálku - zejména proto, že neodpovídá požadavkům na přímé, rovné a tajné volby (v tomto případě není zajištěna jistota, že šlo o přímou a tajnou volbu). Nicméně dobrým nastavením by to šlo alespoň zčásti omezit. ",-1,
31. Lidé s velkým majetkem by v ČR měli platit výrazně vyšší daně než doposud.,-1,,1,,1,,1,"V České republice budeme muset opravit daňový systém tak, aby příjmy státního rozpočtu byly na úrovni výdajů. A zdanění bohatých je jednou z úprav, které bude na místě připravit.  ",-1,"Je v pořádku, aby se bohatší lidé více podíleli na solidaritě. Progresivní daň z příjmu ale již existuje a její případné zvýšení by mělo být součástí transformace celého daňového systému.",-1,,1,Podmiňuji to debatou o celém daňové systému.,-1,,1,Čeká nás změna daňového systému. Progresivnímu zdanění se pravděpodobně nevyhneme.
32. ČR má zavést společnou evropskou měnu (euro).,-1,,1,,1,,1,,1,"Jako občan jsem pro, česká ekonomika je již nyní úzce provázaná s eurozónou a přijetí eura nám dá možnosti podílet se na rozhodování o společné měnové politice. Toto rozhodnutí by ale měla vláda udělat až v okamžiku, kdy to pro ČR bude ekonomicky i politicky výhodné.",-1,,1,Rozhodně ne v současné době.,-1,"Nyní ne. Jednak bychom přišli o vlastní měnovou politiku, jednak i v rámci měnové unie přibývá států, které neplní Maastrichtstká kritéria (větší schodky, velké celkové zadlužení).",1,Jakmile splníme kritéria.
33. V ČR by měla být zakázána stavba jiných než křesťanských náboženských staveb.,1,"Naše země vyrostla z židovsko-křesťanských tradic, jak je vidět na počtu kostelů a synagog. Ostatní náboženství tu již mají svá náboženská centra a modlitebny, které není třeba dále navyšovat.",-1,,-1,,-1,,-1,,-1,Ovšem podmínil bych to reciprocitou,-1,,-1,,-1,
34. Souhlasíte s iniciativou EU zakázat výrobu nových aut produkujících emise po roce 2035?,-1,,0,,1,,-1,"Záměr je to chvályhodný, ale není jasné, jakým autem budou jezdit senioři nebo rodiny s malými dětmi do školy. Bez odpovídajícího rozvoje hromadné dopravy se může vysoká cena za nákup elektrického vozu nepřekonatelnou překážkou pro mnoho našich občanů. Bez odpovídající studie dopadů na jejich život by mohlo jít o rozhodnutí velmi nepromyšlené. ",1,Na základě důkladných analýz proveditelnosti,-1,,-1,,-1,,-1,
"35. Stát / obce se mají postarat, aby měl každý kde bydlet.",1,"Ano, mělo by například vzniknout mnohem více sociálních bytů.",-1,,-1,,-1,,-1,"Stát by měl poskytnout asistenci lidem, kde ji nejvíce potřebují, ale bydlení nelze garantovat jako nárok všem.",1,,1,,0,"Mají se snažit samostatně stavět bydlení, podporovat družstva, neblokovat zbytečně novou výstavbu apod. ",-1,Ale mají pomoci těm v nouzi.
36. Zaměstnávání lidí v předdůchodovém věku má být daňově zvýhodněno.,1,,1,,1,,1,"Na trhu práce existuje jistá diskriminace spojená s věkem pracovníka. Lidé v předdůchodovém věku nejsou viděni jako perspektivní, přestože jejich zkušenosti můžou být velkým přínosem. Daňové zvýhodnění by mohlo být jednou z cest, jak je udržet v zaměstnání.  ",1,"Je pravděpodobné, že se bude prodlužovat věk odchodu do důchodu, zaměstnavatelé by měli být motivováni dávat práci i lidem jejichž perspektiva uplatnění je omezená.",1,,-1,,0,Státní zásahy do trhu práce (např. vyšší ochrana některých skupin) vedou mnohdy v praxi k opačným efektům. ,-1,
"37. Podporuji protesty studentů ve snaze přimět politiky, aby se vážně zabývali změnami klimatu.",-1,,1,,1,,1,,1,,-1,,1,,-1,,1,Každý má právo vyslovit svůj názor i případným protestem.
38. Eutanazie (asistovaná sebevražda) má být v ČR legální.,-1,,1,,-1,,-1,Obával bych se zneužití. ,1,"Stejně jako bych každému rád dopřál právo na důstojný život, tak myslím, že by každý měl mít právo na důstojný odchod. Alespoň já bych ho rád měl. Jsou případy, kdy člověk trpí, nemá vůli jít dál, ale my uměle prodlužujeme jeho utrpení. V některých zemích, například ve Švýcarsku, už toto právo existuje. Myslím, že bychom ho lidem neměli odpírat.",-1,,1,,0,"Obecně ji považuji za přijatelnou, obrovským problémem je možné zneužití. Podepsal bych jen zákon, který by toto řešil opravdu velmi precizně a toto riziko elimiminoval. ",0,Je nutná celospolečenská debata a musí být připravena silná a transparentní pravidla aby nedošlo k zneužití.
"39. Provozovatelé velkých sociálních sítí mají mít povinnost odstraňovat  tzv. fake news (""falešné zprávy"").",1,Vždy ale podle zákona a ne jen dle vlastní vůle.,1,,1,,1,,-1,Měli by mít ale povinnost odstraňovat dezinformace v jednoznačných a společensky závažných případech.,-1,Neexistuje právní definice fake news,1,"Zákon by ale měl definovat, co je a co není fake news a kdo to bude posuzovat.",-1,"Jde o to, že pak se ona síť nebo stát stanou arbitrem pravdy, a to je možná nebezpečnější, než šíření nesmyslů. ",1,"Měli by spadat pod stejná pravidla jako ostatní média, otázkou je kdo posuzuje co je a co není fake news."
40. Česká veřejnoprávní média plní správně svoji funkci.,-1,,1,,1,,1,,1,Ale stále je co zlepšovat :),-1,,1,,0,,-1,"Veřejnoprávní média jsou důležitou součástí svobodné společnosti. Jejich současný model ale neopovídá měnícímu se mediálnímu prostředí ani formou, ani obsahem.  "
"41. Pro úřad prezidenta/ky je přijatelný i člověk, který byl za totality členem komunistické strany.",1,V přímé volbě o legitimitě prezidenta rozhodují občané.,-1,,-1,,-1,,1,"Samotné členství by nemělo být diskvalifikující, podstatné je, co člověk po celý život dělal v ve prospěch České republiky.",0,"Záleží na tom kdy, jak dlouho a proč.",-1,,0,,1,
"42. Prezident/ka by měl/a k cestám do úřadu využívat MHD nebo jízdní kolo, kdykoli je to možné.",-1,,1,,1,,1,,1,,-1,Peleton prezidenta a ochranky by zablokoval dopravu,1,,-1,"Občas klidně, ale pokud se potřebujete pružně přemisťovat po Praze a ČR, pak to na kole obvykle moc nejde.  ",-1,Já obvykle již cestou pracuji a to by na kole nebo v MHD bylo obtížné.
